1001,Active,claurent,Cécile,Laurent,F,cecile.laurent@novaryn-tech.com,2024-08-12,1058,1108,CSM-SALES,Commercial,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1002,Active,lmoulin,Laure,Moulin,F,laure.moulin@novaryn-tech.com,2015-10-18,1194,1161,LEAD-BACK-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1003,Active,dgallet,Daniel,Gallet,M,daniel.gallet@novaryn-tech.com,2013-09-28,1096,1104,SR-PAYROLL-OP,People & Culture,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1004,Active,ytraore,Yves,Traore,M,yves.traore@novaryn-tech.com,2021-04-11,1053,1108,LEAD-CSM-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1005,Active,bmaury,Benjamin,Maury,M,benjamin.maury@novaryn-tech.com,2019-03-06,1160,1142,LEAD-CSM-SALES,Commercial,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1006,Active,amartinez,Alexandria,Martinez,F,alexandria.martinez@novaryn-tech.com,2013-08-05,1121,1003,LEAD-ML-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1007,Inactive,grey,Gabrielle,Rey,F,gabrielle.rey@novaryn-tech.com,2020-08-06,1157,1064,SR-QA-ENG,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1008,Active,aguilbert,Alexandrie,Guilbert,F,alexandrie.guilbert@novaryn-tech.com,2015-05-20,1192,1104,LEAD-BACK-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1009,Active,pvasseur,Paulette,Vasseur,F,paulette.vasseur@novaryn-tech.com,2019-08-23,1213,1175,BACK-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1010,Leave,tlopes,Théodore,Lopes,M,theodore.lopes@novaryn-tech.com,2025-10-08,1138,1134,SR-FA-FIN,Finance & Administration,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1011,Active,athierry,Adèle,Thierry,F,adele.thierry@novaryn-tech.com,2025-09-16,1053,1175,LEAD-FA-FIN,Finance & Administration,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1012,Active,erocher,Édouard,Rocher,M,edouard.rocher@novaryn-tech.com,2019-03-11,,1048,CMO,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1013,Active,jlopes,Jean,Lopes,M,jean.lopes@novaryn-tech.com,2014-08-24,1018,1108,SR-FA-FIN,Finance & Administration,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1014,Active,fledoux,Franck,Ledoux,M,franck.ledoux@novaryn-tech.com,2017-09-22,1186,1108,BD-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1015,Active,bmorin,Bernard,Morin,M,bernard.morin@novaryn-tech.com,2018-06-18,1006,1232,LEAD-DATA-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1016,Active,bpelletier,Benoît,Pelletier,M,benoit.pelletier@novaryn-tech.com,2017-11-07,1162,1003,LEAD-DATA-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1017,Inactive,taubry,Thibaut,Aubry,M,thibaut.aubry@novaryn-tech.com,2025-09-24,1116,1104,SECU-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1018,Active,achauveau,Amélie,Chauveau,F,amelie.chauveau@novaryn-tech.com,2019-10-25,1085,1142,SR-DEVOPS-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1019,Terminated,rdenis,René,Denis,M,rene.denis@novaryn-tech.com,2018-06-10,1221,1065,LEAD-DATA-SCI,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1020,Active,acourtois,Augustin,Courtois,M,augustin.courtois@novaryn-tech.com,2016-12-26,1115,1043,LEAD-PO-PROD,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1021,Active,tmaurice,Thomas,Maurice,M,thomas.maurice@novaryn-tech.com,2018-02-25,1003,1064,LEAD-FA-FIN,Finance & Administration,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1022,Inactive,solivier,Sébastien,Olivier,M,sebastien.olivier@novaryn-tech.com,2023-12-27,1209,1064,AM-SALES,Commercial,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1023,Active,alambert,Arthur,Lambert,M,arthur.lambert@novaryn-tech.com,2023-04-01,1066,1232,SR-SMGR-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
