user_id,start_date,pay_component,paycomponentvalue,currency_code,frequency,seq_number
1001,2024-08-12,Base Salary,2870.57,EUR,Monthly,1
1001,2024-08-12,Transport Allowance,61.23,EUR,Monthly,2
1001,2026-01-04,Base Salary,3022.85,EUR,Monthly,1
1001,2026-01-04,Transport Allowance,61.23,EUR,Monthly,2
1002,2015-10-18,Base Salary,3300.61,EUR,Monthly,1
1002,2015-10-18,Transport Allowance,67.61,EUR,Monthly,2
1002,2021-09-19,Base Salary,6061.43,EUR,Monthly,1
1002,2021-09-19,Transport Allowance,67.61,EUR,Monthly,2
1002,2021-09-19,Housing Allowance,219.9,EUR,Monthly,3
1002,2024-10-03,Base Salary,7923.04,EUR,Monthly,1
1002,2024-10-03,Transport Allowance,67.61,EUR,Monthly,2
1002,2024-10-03,Housing Allowance,310.14,EUR,Monthly,3
1002,2025-11-08,Base Salary,7923.04,EUR,Monthly,1
1002,2025-11-08,Transport Allowance,67.61,EUR,Monthly,2
1002,2025-11-08,Housing Allowance,239.55,EUR,Monthly,3
1003,2013-09-28,Base Salary,2424.33,EUR,Monthly,1
1003,2013-09-28,Transport Allowance,65.49,EUR,Monthly,2
1003,2016-09-30,Base Salary,3630.4,EUR,Monthly,1
1003,2016-09-30,Transport Allowance,65.49,EUR,Monthly,2
1003,2019-10-20,Base Salary,4368.21,EUR,Monthly,1
1003,2019-10-20,Transport Allowance,65.49,EUR,Monthly,2
1003,2025-06-04,Base Salary,5792.69,EUR,Monthly,1
1003,2025-06-04,Transport Allowance,65.49,EUR,Monthly,2
1004,2021-04-11,Base Salary,6378.37,EUR,Monthly,1
1004,2021-04-11,Transport Allowance,76.3,EUR,Monthly,2
1004,2021-04-11,Housing Allowance,320.21,EUR,Monthly,3
1004,2025-11-01,Base Salary,6378.37,EUR,Monthly,1
1004,2025-11-01,Transport Allowance,76.3,EUR,Monthly,2
1004,2025-11-01,Housing Allowance,286.47,EUR,Monthly,3
1005,2019-03-06,Base Salary,4259.01,EUR,Monthly,1
1005,2019-03-06,Transport Allowance,56.32,EUR,Monthly,2
1005,2025-04-02,Base Salary,6449.47,EUR,Monthly,1
1005,2025-04-02,Transport Allowance,56.32,EUR,Monthly,2
1005,2025-04-21,Base Salary,6496.18,EUR,Monthly,1
1005,2025-04-21,Transport Allowance,56.32,EUR,Monthly,2
1006,2013-08-05,Base Salary,3945.79,EUR,Monthly,1
1006,2013-08-05,Transport Allowance,45.87,EUR,Monthly,2
1006,2022-07-20,Base Salary,11048.32,EUR,Monthly,1
1006,2022-07-20,Transport Allowance,45.87,EUR,Monthly,2
1006,2022-07-20,Car Allowance,450.0,EUR,Monthly,3
1006,2022-07-20,Housing Allowance,299.81,EUR,Monthly,4
1006,2025-07-24,Base Salary,11466.5,EUR,Monthly,1
1006,2025-07-24,Transport Allowance,45.87,EUR,Monthly,2
1006,2025-07-24,Car Allowance,450.0,EUR,Monthly,3
1006,2025-07-24,Housing Allowance,397.26,EUR,Monthly,4
1007,2020-08-06,Base Salary,4118.58,EUR,Monthly,1
1007,2020-08-06,Transport Allowance,76.35,EUR,Monthly,2
1007,2023-07-17,Base Salary,5613.08,EUR,Monthly,1
1007,2023-07-17,Transport Allowance,76.35,EUR,Monthly,2
1007,2025-05-14,Base Salary,5804.47,EUR,Monthly,1
1007,2025-05-14,Transport Allowance,76.35,EUR,Monthly,2
1008,2015-05-20,Base Salary,6270.67,EUR,Monthly,1
1008,2015-05-20,Transport Allowance,75.89,EUR,Monthly,2
1008,2015-05-20,Housing Allowance,219.84,EUR,Monthly,3
1008,2018-05-30,Base Salary,8308.41,EUR,Monthly,1
1008,2018-05-30,Transport Allowance,75.89,EUR,Monthly,2
1008,2018-05-30,Car Allowance,450.0,EUR,Monthly,3
1008,2018-05-30,Housing Allowance,271.3,EUR,Monthly,4
1008,2025-04-11,Base Salary,8311.58,EUR,Monthly,1
1008,2025-04-11,Transport Allowance,75.89,EUR,Monthly,2
1008,2025-04-11,Car Allowance,450.0,EUR,Monthly,3
1008,2025-04-11,Housing Allowance,342.69,EUR,Monthly,4
1009,2019-08-23,Base Salary,3290.21,EUR,Monthly,1
1009,2019-08-23,Transport Allowance,69.9,EUR,Monthly,2
1009,2025-09-29,Base Salary,6079.97,EUR,Monthly,1
1009,2025-09-29,Transport Allowance,69.9,EUR,Monthly,2
1009,2025-09-29,Car Allowance,400.0,EUR,Monthly,3
1010,2025-10-08,Base Salary,5569.44,EUR,Monthly,1
1010,2025-10-08,Transport Allowance,50.74,EUR,Monthly,2
1010,2025-10-08,Housing Allowance,361.32,EUR,Monthly,3
1011,2025-09-16,Base Salary,7814.86,EUR,Monthly,1
1011,2025-09-16,Transport Allowance,48.19,EUR,Monthly,2
1011,2025-09-16,Housing Allowance,355.37,EUR,Monthly,3
1012,2019-03-11,Base Salary,15885.1,EUR,Monthly,1
1012,2019-03-11,Transport Allowance,67.19,EUR,Monthly,2
1012,2019-03-11,Housing Allowance,218.77,EUR,Monthly,3
1012,2026-01-13,Base Salary,16443.41,EUR,Monthly,1
1012,2026-01-13,Transport Allowance,67.19,EUR,Monthly,2
1012,2026-01-13,Car Allowance,700.0,EUR,Monthly,3
1012,2026-01-13,Housing Allowance,355.6,EUR,Monthly,4
1013,2014-08-24,Base Salary,5716.73,EUR,Monthly,1
1013,2014-08-24,Transport Allowance,70.44,EUR,Monthly,2
1013,2025-08-04,Base Salary,7885.19,EUR,Monthly,1
1013,2025-08-04,Transport Allowance,70.44,EUR,Monthly,2
1014,2017-09-22,Base Salary,2845.87,EUR,Monthly,1
1014,2017-09-22,Transport Allowance,79.13,EUR,Monthly,2
1014,2025-10-17,Base Salary,5381.7,EUR,Monthly,1
1014,2025-10-17,Transport Allowance,79.13,EUR,Monthly,2
1015,2018-06-18,Base Salary,8162.47,EUR,Monthly,1
1015,2018-06-18,Transport Allowance,66.42,EUR,Monthly,2
1015,2018-06-18,Housing Allowance,235.18,EUR,Monthly,3
1015,2025-04-03,Base Salary,8381.72,EUR,Monthly,1
1015,2025-04-03,Transport Allowance,66.42,EUR,Monthly,2
1015,2025-04-03,Car Allowance,350.0,EUR,Monthly,3
1015,2025-04-03,Housing Allowance,321.08,EUR,Monthly,4
1016,2017-11-07,Base Salary,4856.31,EUR,Monthly,1
1016,2017-11-07,Transport Allowance,46.54,EUR,Monthly,2
1016,2020-11-23,Base Salary,7153.38,EUR,Monthly,1
1016,2020-11-23,Transport Allowance,46.54,EUR,Monthly,2
1016,2020-11-23,Housing Allowance,237.59,EUR,Monthly,3
1016,2023-11-27,Base Salary,8153.53,EUR,Monthly,1
1016,2023-11-27,Transport Allowance,46.54,EUR,Monthly,2
1016,2023-11-27,Housing Allowance,273.74,EUR,Monthly,3
1016,2025-10-24,Base Salary,9053.71,EUR,Monthly,1
1016,2025-10-24,Transport Allowance,46.54,EUR,Monthly,2
1016,2025-10-24,Housing Allowance,391.69,EUR,Monthly,3
1017,2025-09-24,Base Salary,3671.44,EUR,Monthly,1
1017,2025-09-24,Transport Allowance,75.19,EUR,Monthly,2
1018,2019-10-25,Base Salary,3751.33,EUR,Monthly,1
1018,2019-10-25,Transport Allowance,50.67,EUR,Monthly,2
1018,2022-11-09,Base Salary,5679.53,EUR,Monthly,1
1018,2022-11-09,Transport Allowance,50.67,EUR,Monthly,2
1018,2025-10-30,Base Salary,7870.4,EUR,Monthly,1
1018,2025-10-30,Transport Allowance,50.67,EUR,Monthly,2
1018,2025-10-30,Car Allowance,450.0,EUR,Monthly,3
1018,2025-12-29,Base Salary,7870.4,EUR,Monthly,1
1018,2025-12-29,Transport Allowance,50.67,EUR,Monthly,2
1018,2025-12-29,Car Allowance,450.0,EUR,Monthly,3
1019,2018-06-10,Base Salary,5796.83,EUR,Monthly,1
1019,2018-06-10,Transport Allowance,50.06,EUR,Monthly,2
1019,2021-05-11,Base Salary,7698.75,EUR,Monthly,1
1019,2021-05-11,Transport Allowance,50.06,EUR,Monthly,2
1019,2024-05-18,Base Salary,10024.57,EUR,Monthly,1
1019,2024-05-18,Transport Allowance,50.06,EUR,Monthly,2
1019,2025-08-07,Base Salary,10285.85,EUR,Monthly,1
1019,2025-08-07,Transport Allowance,50.06,EUR,Monthly,2
1020,2016-12-26,Base Salary,5997.0,EUR,Monthly,1
1020,2016-12-26,Transport Allowance,71.92,EUR,Monthly,2
1020,2016-12-26,Housing Allowance,211.29,EUR,Monthly,3
1020,2019-12-28,Base Salary,7728.94,EUR,Monthly,1
1020,2019-12-28,Transport Allowance,71.92,EUR,Monthly,2
1020,2019-12-28,Housing Allowance,267.77,EUR,Monthly,3
1020,2025-07-10,Base Salary,7765.92,EUR,Monthly,1
1020,2025-07-10,Transport Allowance,71.92,EUR,Monthly,2
1020,2025-07-10,Housing Allowance,360.64,EUR,Monthly,3
1021,2018-02-25,Base Salary,4463.11,EUR,Monthly,1
1021,2018-02-25,Transport Allowance,78.63,EUR,Monthly,2
1021,2021-02-24,Base Salary,6253.08,EUR,Monthly,1
1021,2021-02-24,Transport Allowance,78.63,EUR,Monthly,2
1021,2024-02-24,Base Salary,7328.22,EUR,Monthly,1
1021,2024-02-24,Transport Allowance,78.63,EUR,Monthly,2
1021,2026-01-09,Base Salary,7328.22,EUR,Monthly,1
1021,2026-01-09,Transport Allowance,78.63,EUR,Monthly,2
1022,2023-12-27,Base Salary,2794.26,EUR,Monthly,1
1022,2023-12-27,Transport Allowance,55.11,EUR,Monthly,2
1022,2025-03-29,Base Salary,2794.26,EUR,Monthly,1
1022,2025-03-29,Transport Allowance,55.11,EUR,Monthly,2
